Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=f0c7c08485085240,[마비노기모바일] 연구 개발 프로그래머,서울 강남구,"험을 풍성하게 할 기술 개발 작업에 참여합니다.- 머신러닝, VR 등 신기술을 탐색, 실험합니다.- C#, Python, Javascript 등 다양한 언어와 환경을 사용합니다. 인터넷·IT·통신·모바일·게임>게임(Game..."
https://kr.indeed.com/viewjob?jk=c06905fe61fc2dd6,Database Engineer (DBA),서울 중구,"운영 경험 보유– DBMS 및 Linux 에 대한 전반적인 이해– Python, bash, go 스트립팅 언어에 능통– 논리적인 문제 해결, 협업 및... 좋습니다.우대사항– (우대) Python/Shell script 가능자..."
https://kr.indeed.com/viewjob?jk=b515669e8032265b,[kt ds] 2022년 각 부문별 경력사원 수시,서울 서초구,JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머...
https://kr.indeed.com/viewjob?jk=a2fda34fbc140ebf,기술유닛 프로그래밍 전부문(툴/엔진/렌더링/서버/클라이언트),서울 강남구,"독해 능력 (기술 문서)- 원활한 의사 소통 능력이 있으신 분 이런 경험이 있으면 더 좋아요!- 다양한 언어( python, js, groovy, lua) 경험이 있으신 분- SQL 경험이 있으신 분< 인터넷·IT·통신·모바일..."
https://kr.indeed.com/viewjob?jk=8d8becaac19b958f,모바일 운영서비스 빌드/배포/테스트 자동화 개발자,서울 마포구,"와 같은 컨테이너 기반 기술 이해 및 경험- 리눅스 환경에 대한 경험- 기본 스크립트 언어 경험 : Python / Bash / Perl 등- 지속적 통합 (Jenkins, Fastlane) 이해 및 경험- 소스형상관리..."
https://kr.indeed.com/viewjob?jk=0229342521a71f63,(주)리얼데이터 분석컨설팅 인력,서울 성동구,이터·AI(인공지능)>데이터마이닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>R
https://kr.indeed.com/viewjob?jk=5fe21ceab5a3ce0b,연구소 R&D 인프라 운영,성남 분당구,"람들과 소통 능력 및 협업 경험 우대사항 - 개발프로젝트 참여 경험 - 클라우드 서비스 운영 경험 - Python, Groovy, Java 등 개발언어 가능 - 가상화 인프라(vSphere 등) 나 Docker 활용..."
https://kr.indeed.com/viewjob?jk=3544467a7b64376f,[전문연구요원] 의료영상 리서치 엔지니어 정규직,서울 마포구,"학력무관직무기술: VISUALC++, 응용프로그래밍, C·C++, Python, AI개발 2 명 근무조건 고용형태: 정규직(수습기간3개월)근무부서... 머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
https://kr.indeed.com/viewjob?jk=b7404340e4697466,[주4.5일] 딥러닝 연구 개발자,서울 구로구,집부문 / 상세내용 사용 기술 ai/인공지능 pytorch python deeplearning tensorflow.js 인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발...
https://kr.indeed.com/viewjob?jk=d467657b9fac7fc9,[Data] 분석 데이터 엔지니어,성남 분당구,"3년 이상인 분· Java, Python 중 하나 이상의 언어에 익숙한... 응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신..."
https://kr.indeed.com/viewjob?jk=dd74559e6a845b5d,MLOps Engineer,서울 중구,대한 기초적인 이해- Java / Python 기반 백엔드 프로그래밍 경험... 데이터 모델 설계 등) 수행 경험- 웹 프론트엔드 개발 경험 또는 Python 기반의 머신러닝 프레임워크를 이용해 대용량 데이터 분석 경험 인터넷...
https://kr.indeed.com/viewjob?jk=4e3b4e13098d5aa1,[위메프서비스] 서비스 통계 개발자,대한민국,"사용하는 기술] 언어: Kotlin, Python, Java, Shell... 개발 경력 3년 이상 보유하신 분 Java, Spring F/W, Python 개발 중급 이상의 능력을 보유하신 분 표준 SQL 구현 상급 이상..."
https://kr.indeed.com/viewjob?jk=661cf773d598862b,[신입] 미래 인재 DB,서울,"플랫폼 및 운영체제(Linux/RTOS 등) 이해 ㆍ마이크로컨트롤러 활용 경험/지식 [우대사항] ㆍJAVA/ Python 활용 역량 ㆍ기능안전 ISO26262, A-SPICE 프로세스 이해 ㆍHW 회로도 이해 및 분석 역량 ㆍ..."
https://kr.indeed.com/viewjob?jk=2642a83874ea6bab,"영상처리, 컴퓨터 비전 전문가 (신입/경력)",성남 수정구,"인원 [담당업무] Python, C++, MFC, C를 이용하여 - OpenCV 로 Visual SLAM 개발- MFC, Python을 이용하여 GUI... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=3c177bbc6292d9a8,데이터 분석가 정규직,서울 강서구,"직무내용] - 지원자격ㆍ경력 : 경력 1년 이상- 우대사항ㆍ Python, R 등 경험자ㆍ보유 자격(우대) : 데이터분석 전문가, 데이터분석 준전문가, 빅데이터분석기사, SQLP(SQL전문가), SQLD(SQL개발자), 정보처..."
https://kr.indeed.com/viewjob?jk=c823987791ca2ef0,데이터 분석 /고객 분석,서울 영등포구,이터마이닝|인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=8af26b37623864c4,8퍼센트 개발자 (신입/경력),서울 종로구,개발 금융 데이터 분석과 분석 플랫폼 운영 자격요건 컴퓨터 전공자 또는 웹 개발 경력 1년 이상 우대사항 Python 코드를 무리 없이 읽으실 수 있는 분 Linux/Mac 사용 가능한 분 새로운 기술에 대한 호기심을 가지신...
https://kr.indeed.com/viewjob?jk=676aa754cf756afe,[HDC 랩스] 2022년 경력 수시,서울특별시,"레이크 구축/운영 PM 경험 2년 이상 · Amazon EMR 추구/활용 경험 2년 이상 · Java or python 개발 경험 1년 이상 · 논리적인 분석 및 문제해결 능력, 동료들과 긴밀한 커뮤니케이션 역량 [우대사항..."
https://kr.indeed.com/viewjob?jk=41d1e4ce3b59c571,교원투어 7월 정기,서울특별시,"홈페이지 리뉴얼 개발 지원 [필요역량] 개발언어: java (필수), python (우대) 개발프레임워크: Spring Framework (필수... 요역량] 개발언어: java (필수), python (우대) 개발프레임워크..."
https://kr.indeed.com/viewjob?jk=5ab0b45dfa93411b,Data Engineer 신입사원,서울 강남구,"분류, 개인정보 비식별화, 불량 코퍼스 필터링 등 다양한 ML 프로젝트 (예정)[자격요건]- Julia / Python / R 중에서 자신 있는 프로그래밍 언어가 있는 분- 하나의 데이터도 놓치지 않고 꼼꼼하게 관리할 수..."
https://kr.indeed.com/viewjob?jk=f544b8043a0cede5,Data Scientist,서울,"testing, classification, or clustering Experience with Python programming language and writing SQL queries Bachelor’s degree..."
https://kr.indeed.com/viewjob?jk=84fdcc3c8a8cf47f,퀀트운용본부 직원(신입 및 인턴),대한민국,"자격요건 - 체험형 인턴 컴퓨터 관련 전공 우대 - 수학, 통계학, 금융공학, 공학계열 전공자 우대 - Python, SQL, VBA 등 프로그래밍 가능자 우대 - MS Office등 문서 작업에 능숙한 분 (워드, 엑셀..."
